algorithm,dataset,status,n_features,n_rows,r2,rmse,complexity,seconds,error,expression
gomea,542_pollution,ok,15,60,0.189917,75.594188,22,609.76,,(x3*(x1 + x8)*(21.319101*log(-sqrt(x0) + x5 - x8) + 807.464923) + 21.319101*(x0 + x3)*(x3*log(x13) + x8))/(x3*(x1 + x8))
gomea,547_no2,ok,7,200,0.617702,0.41923,23,607.97,,0.460563*x0 - 0.153521*x1/x5 - 0.153521*x2 + 0.153521*x3 + 0.670671 + 0.153521*log(x6/x0)/sqrt(-x1 + x5)
gomea,556_analcatdata_apnea2,ok,3,200,0.85456,1390.502306,25,602.48,,(135.077455*(x0 - x1)*(-x0**2 + x0 + 6.075) - 0.000109*(x1 - 6.51)*(sqrt(x2 - 3.007) + log(19.128/x1)))/((x0 - x1)*(-x0**2 + x0 + 6.075))
gomea,557_analcatdata_apnea1,ok,3,200,0.93031,937.527727,22,631.42,,(-305.132283*x1*log(28.797*x1 - 16.069*x2) + 228.291627*(x2 - 18.372)*(x0*x1 - 8.986))/((x2 - 18.372)*(x0*x1 - 8.986))
gomea,560_bodyfat,ok,14,200,0.869575,2.618527,14,603.56,,-206.323616 + 0.421577*x11/(x0*x13) + 0.421577*log(x6 - 79.438)/x0 + 249.094672528/x0**2
gomea,561_cpu,ok,7,200,0.997381,9.987584,29,602.44,,(x0*(-3.0e-6*x3*x4 + 0.361154712*x4 + 0.673642335*x5 + 3.0e-6*(x2 + x3)*(sqrt(x3) + x4 + x6)*log(x2) + 18.181476) + 3.0e-6*x5)/x0
gomea,562_cpu_small,ok,12,200,0.968578,3.63987,17,602.01,,-7.325661*sqrt(x2 + 9705056.849 + x7/x10) - 7.325661*log(x5*x6 + 6375342.762/x11) + 22927.65605
gomea,564_fried,ok,10,200,0.836683,1.831552,21,607.45,,2.417959*sqrt(1.578*x2 + log(x2)) + 2.417959*(x3 + 1.828)*(x4 + 3.444) + 2.417959*log(x0) + 2.417959*log(x1) - 5.352954
gomea,573_cpu_act,ok,21,200,0.969172,3.605301,22,600.96,,(-0.007057*x2 - 0.007057*x4 + (-0.007057*x0 - 0.007057*sqrt(x20) - 0.0035285*(x12 + x16 - 2454.03550993053)*log(x20) - 16.855342)*log(x17))/log(x17)
gomea,574_house_16H,ok,16,200,0.046775,47111.880827,24,602.26,,(-2229206.116411*x3*x9*(x2 - x3*log(x15))*sqrt(log(x12)) + 33376.900905*x4*(x14 + x4)*(x3 - 1))/(x4*(x14 + x4)*(x3 - 1))
gomea,579_fri_c0_250_5,ok,5,200,0.752214,0.404626,27,601.56,,-0.376846*x0**2*sqrt(x1) + 0.376846*x0 + 0.376846*x1 + 0.376846*x2**2 + 0.565269*x3 + 0.376846*x4 - 0.376846*sqrt(x1*x2) + 0.259514
gomea,581_fri_c3_500_25,ok,25,200,0.689616,0.506397,27,602.73,,0.368307*x0*x2 + 0.736614*x0*log(x0) - 0.368307*x1 + 0.368307*x3 + 0.368307*(x0 + x1 + x2 - x4)*log(x1 - 0.733) + 0.241066
gomea,582_fri_c1_500_25,ok,25,200,0.776862,0.486563,19,602.45,,0.514677*x1*log(x0) + 0.514677*sqrt(x2) + 0.514677*x3 + 0.514677*log(x0 + log(x1) - 0.936) - 0.635073306
gomea,583_fri_c1_1000_50,ok,50,200,0.682983,0.54096,18,601.14,,0.467627*x3 + 0.467627*(x0 + x1)*log(x1) + 0.467627*(sqrt(x1) + x1)*log(0.83 - x0) + 0.344718
gomea,584_fri_c4_500_25,ok,25,200,-0.701991,1.024756,24,601.49,,0.324092*x3 + 0.324092*(x0 + x1)*log(x1) + 0.324092*(sqrt(x1) + x1)*(x0*x1 + x4 - 3.316) - 0.324092*log(x0) + 0.233586
gomea,586_fri_c3_1000_25,ok,25,200,0.811257,0.429165,23,601.13,,0.47434*x0 - 0.47434*x1 + 0.47434*x3 + 0.47434*(x0 + x1)*log(x1) + 0.47434*log(-x0 - x1 + 1.862) - 0.14708222
gomea,588_fri_c4_1000_100,ok,100,200,0.58568,0.648644,15,601.74,,0.476348*x3 + 0.476348*(x0 + x1)*log(x1) + 0.476348*log(x1 - 1) + 0.143173
gomea,589_fri_c2_1000_25,ok,25,200,0.785067,0.525998,21,601.5,,0.540225*(sqrt(x1) + x1)*(x1 - (x0 + x1)*log(x1))*(x0*x1 - 2.461) + 0.516904
gomea,590_fri_c0_1000_50,ok,50,200,0.879681,0.318504,26,602.78,,-0.281459*x0**2 + 0.281459*x0 - 0.281459*x1**2 - 0.281459*x1*log(x0) + 0.281459*x1 + 0.281459*x2**2 + 0.562918*x3 + 0.281459*x4 + 0.28545
gomea,591_fri_c1_100_10,ok,10,100,0.731799,0.380272,21,600.85,,(-2.480147*x0*x1 + 2.480147*x3 + 6.915744*sqrt(x1 + 3.394)*sqrt(x0 + 2*x1 - 2.095) - 15.843179036)/(x0*x1 - x3 + 6.388)
gomea,592_fri_c4_1000_25,ok,25,200,0.660549,0.479815,18,601.55,,1.134748*x1*log(x1) + 0.567374*sqrt(x2) + 0.567374*x3 + 0.567374*log(x0 + x1 - 1.667) - 0.664511
gomea,593_fri_c1_1000_10,ok,10,200,0.737581,0.469784,21,601.49,,-0.409992*sqrt(x0) - 0.409992*x0 + 0.409992*x3 + 0.409992*(x0 + x1)*log(x0) + 0.409992*log(x0 + log(x1) - 0.739) + 0.273222
gomea,594_fri_c2_100_5,ok,5,100,0.463673,0.787328,28,603.49,,0.128511*x0*x2 + 0.128511*x1*x4 - 0.128511*x1 + 0.257022*x3 + 0.128511*x4 - 0.128511*(x1 - 7.1)*(x1 + 0.594)*log(x0 - 0.713) + 0.571222
